歌手名字,薛之谦
1334647784,天份
417859631,我好像在哪见过你 - (电影《精灵王座》主题曲)
32507038,演员
471385043,暧昧
557583281,哑巴
27890306,意外
32192436,绅士
415792881,刚刚好
516657051,像风一样
27955653,你还要我怎样
468517654,动物世界
557581967,肆无忌惮
27955654,其实
1294910785,最好
27955658,方圆几里 - (微电影《最熟悉的陌生人》主题曲)
169185,认真的雪
574921549,怪咖
27808044,丑八怪
571340283,那是你离开了北京的生活
35528482,一半
515803379,别
32507039,下雨了
474567044,我害怕
466122271,高尚
553543014,摩天大楼
525241230,狐狸 - (电影《二代妖精之今生有幸》推广曲)
412902689,初学者
27955656,有没有
518894283,骆驼
33071053,为了遇见你
27955652,等我回家
169137,我知道你都知道 - (电视剧《胜女的代价》插曲)
520458481,背过手
169140,几个你 - (电视剧《胜女的代价》插曲)
429450375,来日方长 - (电影《我不是潘金莲》方圆版推广曲)
443277013,火星人来过
517571371,渡
421160838,花儿和少年
35288183,小孩
169152,未完成的歌
418603445,重返十七岁(新版) - (《我去上学啦》第二季主题曲)
27955655,我想起你了
169142,伏笔
169188,爱我的人 谢谢你
169198,传说
27955651,潮流季
169144,我终于成了别人的女人
421148955,Stay Here
26600199,我们爱过就好 - (电影《音乐江湖》主题曲)
169216,梦开始的原点
